Starting program at Mon Jan 17 12:53:24 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
37,  44.221,   0.000
39,  37.743,   0.000
41,  34.204,   0.000
42,  29.737,   0.000
43,  25.434,   0.000
45,  20.587,   0.000
47,  15.811,   0.000
48,  13.414,   0.000
49,  10.746,   0.000
50,   8.025,   0.000
51,   4.248,   0.000
53,   3.266,   0.000
54,   1.931,   0.000
55,   0.962,   0.000


Parameter, 1, 16384, 100, 20
play, 0
 0, 641.347,   0.000
 2, 606.613,   0.000
 4, 565.776,   0.000
 6, 519.522,   0.000
 8, 481.452,   0.000
10, 449.015,   0.000
12, 413.563,   0.000
14, 377.518,   0.000
16, 343.149,   0.000
18, 314.560,   0.000
20, 287.971,   0.000
22, 257.990,   0.000
24, 230.509,   0.000
26, 206.209,   0.000
28, 180.687,   0.000
30, 156.762,   0.000
32, 138.041,   0.000
34, 120.956,   0.000
36, 106.762,   0.000
38,  97.711,   0.000
39,  87.820,   0.000
41,  71.302,   0.000
43,  56.646,   0.000
45,  43.460,   0.000
47,  33.349,   0.000
49,  25.380,   0.000
51,  18.063,   0.000
53,  10.002,   0.000
55,   4.766,   0.000
57,   1.415,   0.000
59,   0.495,   0.000

play, 1
 0, 639.459,   0.000
 2, 602.267,   0.000
 4, 567.434,   0.000
 6, 530.702,   0.000
 8, 494.990,   0.000
10, 456.177,   0.000
12, 424.467,   0.000
14, 391.008,   0.000
16, 351.344,   0.000
18, 317.698,   0.000
20, 288.052,   0.000
22, 258.048,   0.000
24, 231.937,   0.000
26, 206.807,   0.000
28, 183.591,   0.000
30, 162.541,   0.000
32, 140.606,   0.000
34, 121.795,   0.000
36, 101.925,   0.000
38,  83.740,   0.000
40,  68.890,   0.000
42,  63.427,   0.000
44,  52.640,   0.000
45,  45.960,   0.000
47,  35.043,   0.000
49,  26.158,   0.000
51,  18.562,   0.000
