Starting program at Mon Jan 10 14:51:17 2022

Parameter: CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 2, 100, 20
play, 0
 4, 190.174,  83.539
 6, 175.958,  79.894
 8, 167.165,  77.482
10, 152.728,  73.098
12, 142.400,  69.785
14, 131.111,  65.717
16, 118.642,  60.808
18, 107.291,  56.162
20,  99.060,  52.747
22,  90.505,  49.690
24,  80.906,  45.949
26,  72.599,  42.594
28,  64.606,  39.216
30,  57.798,  35.903
32,  49.611,  32.483
34,  42.773,  28.998
36,  36.689,  26.219
38,  31.354,  23.523
40,  25.447,  20.174
42,  19.723,  16.791
44,  16.951,  14.934
46,  13.016,  12.355
48,   9.758,  10.077
50,   6.850,   7.729
52,   4.454,   5.672
54,   2.637,   3.972
56,   1.047,   2.349
58,   0.463,   1.406
59,   0.279,   0.636


Parameter, 1, 32, 100, 20
play, 0
 0, 213.375, 180.706
 2, 199.939, 173.935
 4, 186.865, 164.961
 6, 176.450, 159.421
 8, 165.241, 152.170
10, 151.363, 143.236
12, 138.492, 133.763
14, 127.087, 125.552
16, 120.823, 122.674
18, 109.265, 115.295
20,  99.876, 107.351
22,  89.037,  98.473
24,  78.663,  90.766
26,  71.931,  85.217
28,  62.556,  76.612
30,  55.124,  69.560
32,  50.345,  65.503
34,  42.300,  57.988
36,  36.017,  51.212
38,  30.460,  44.087
40,  26.109,  39.082
42,  20.970,  33.182
44,  16.737,  27.985
46,  13.858,  23.755
48,  10.829,  18.959
50,   7.512,  14.622
52,   4.976,  10.927
54,   2.824,   7.395
56,   1.208,   4.236
58,   0.357,   1.651

play, 1
 0, 213.826, 180.418
 2, 205.791, 177.280
 4, 189.690, 168.422
 6, 183.250, 164.701
 8, 167.373, 149.983
10,  84.486,  56.593
12,  11.357,   8.709

play, 2
 0, 214.356, 181.238
 2, 200.340, 172.789
 4, 190.196, 168.198
 6, 181.470, 162.709
 8, 165.706, 152.900
10, 155.029, 146.272
12, 142.623, 138.835
14, 131.897, 132.250
16, 117.826, 121.841
18, 107.736, 114.284
20,  97.406, 105.803
22,  90.571, 100.905
24,  81.335,  93.032
26,  72.672,  85.395
28,  64.211,  77.308
30,  56.733,  70.461
32,  49.020,  62.658
34,  41.281,  54.491
36,  35.602,  47.956
38,  30.514,  42.457
40,  25.432,  37.132
42,  21.140,  31.086
44,  16.913,  27.092
46,  13.567,  23.250
48,  10.898,  19.402
50,   7.843,  15.509
52,   5.113,  11.586
54,   2.735,   7.554
56,   1.097,   4.091
58,   0.330,   1.488

play, 3
 0, 212.949, 180.457
 2, 200.739, 173.900
 4, 191.994, 169.341
 6, 176.905, 160.213
 8, 163.019, 150.828
10, 150.621, 142.308
12, 137.255, 133.717
14, 126.240, 123.711
16, 118.079, 119.277
18, 107.044, 111.369
20,  96.710, 104.531
22,  91.141, 100.686
24,  81.022,  93.347
26,  72.516,  85.347
28,  64.851,  78.986
30,  55.923,  71.645
32,  49.072,  64.869
34,  43.567,  59.457
36,  37.513,  53.054
38,  31.388,  46.755
40,  25.306,  39.476
42,  21.073,  34.570
44,  16.954,  29.387
46,  13.894,  24.520
48,  10.754,  19.459
50,   7.028,  13.959
52,   4.723,  10.578
54,   2.906,   7.621
56,   1.374,   4.608
57,   0.688,   3.097
59,   0.303,   1.246

play, 4
 0, 214.297, 180.607
 2, 204.502, 175.057
 4, 191.929, 169.099
 6, 180.154, 163.389
 8, 169.911, 157.599
10, 152.906, 147.204
12, 144.470, 142.217
14, 131.489, 133.103
16, 121.654, 126.206
18, 111.395, 118.847
20,  99.882, 109.144
22,  90.448, 102.702
24,  80.052,  92.743
26,  73.352,  87.179
28,  63.831,  78.710
30,  56.400,  70.756
32,  50.019,  64.561
34,  43.641,  58.244
36,  36.252,  50.933
38,  30.470,  44.441
40,  25.388,  38.832
42,  21.004,  34.039
44,  16.902,  28.885
46,  13.474,  23.685
48,  10.647,  18.984
50,   7.701,  14.908
52,   5.039,  11.107
54,   3.014,   7.760
56,   1.176,   4.555
58,   0.435,   2.222


Parameter, 1, 64, 100, 20
play, 0
 0, 216.636, 364.092
 2, 201.727, 348.145
 4, 188.326, 334.336
 6, 171.487, 311.976
 8, 161.953, 302.943
10, 155.830, 296.648
12, 139.943, 274.368
14, 129.908, 259.448
16, 121.279, 248.318
18, 107.502, 225.910
20,  99.790, 216.464
22,  88.261, 194.813
24,  81.951, 181.148
26,  78.533, 160.795
28,  73.799, 153.073
30,  64.589, 140.981
32,  53.580, 124.376
34,  47.572, 114.807
36,  39.395,  95.873
38,  34.019,  86.885
40,  29.194,  78.656
42,  23.664,  68.367
44,  19.136,  58.509
46,  13.726,  45.228
48,  10.776,  37.573
50,   7.603,  29.562
52,   4.685,  20.820
54,   2.171,  12.694
56,   0.939,   8.447
58,   0.331,   2.975

play, 1
 0, 211.645, 360.867
 2, 201.629, 350.717
 4, 190.581, 339.767
 6, 173.970, 321.144
 8, 164.945, 308.608
10, 153.930, 295.741
12, 139.783, 277.433
14, 127.981, 260.595
16, 119.863, 250.279
18, 110.916, 236.667
20,  99.575, 221.198
22,  91.024, 206.485
24,  83.428, 193.821
26,  80.381, 171.941
28,  72.238, 154.650
30,  64.167, 141.737
32,  53.758, 126.711
34,  46.178, 116.288
36,  39.956, 103.180
38,  35.071,  91.980
40,  27.546,  76.225
42,  22.008,  64.897
44,  18.612,  58.303
46,  13.207,  45.394
48,  10.759,  39.524
50,   7.463,  30.169
52,   4.354,  19.951
54,   2.732,  14.633
56,   1.018,   8.433
58,   0.357,   3.230

play, 2
 0, 210.670, 359.570
 2, 199.497, 349.268
 4, 188.521, 337.852
 6, 176.567, 323.776
 8, 167.739, 312.647
10, 150.309, 290.181
12, 141.835, 280.569
14, 130.117, 264.562
16, 119.381, 249.199
18, 107.021, 230.241
20, 102.029, 223.738
22,  90.305, 203.374
24,  81.953, 180.817
26,  81.177, 169.284
28,  69.697, 149.067
30,  59.024, 129.804
32,  50.756, 119.707
34,  45.537, 112.721
36,  39.478,  99.121
38,  35.002,  90.522
40,  27.853,  76.689
42,  22.548,  64.712
44,  19.352,  57.480
46,  14.960,  47.351
48,  11.251,  37.472
50,   7.553,  28.998
52,   4.592,  22.788
54,   2.517,  14.457
56,   0.982,   7.232
57,   0.537,   2.977

play, 3
 0, 216.114, 364.913
 2, 200.045, 347.988
 4, 188.856, 333.587
 6, 176.236, 319.362
 8, 160.980, 298.135
10, 152.280, 288.388
12, 139.378, 274.082
14, 127.146, 256.711
16, 118.711, 247.997
18, 107.605, 231.812
20,  95.873, 212.190
22,  86.740, 197.080
24,  82.205, 183.164
26,  79.710, 168.202
28,  72.506, 153.404
30,  61.272, 134.818
32,  55.335, 127.618
34,  44.028, 111.824
36,  37.989,  97.519
38,  33.637,  88.311
40,  26.631,  72.926
42,  22.396,  65.049
44,  17.123,  54.557
46,  13.987,  47.525
48,  10.992,  39.843
50,   7.669,  30.391
52,   5.036,  22.997
54,   2.550,  14.143
56,   1.065,   8.003
58,   0.356,   3.224

play, 4
 0, 216.626, 365.602
 2, 203.938, 352.480
 4, 189.150, 335.995
 6, 176.633, 322.747
 8, 165.883, 311.344
10, 154.382, 297.875
12, 142.570, 282.574
14, 132.550, 267.128
16, 117.158, 244.587
18, 106.375, 229.487
20,  97.784, 214.781
22,  89.030, 199.331
24,  82.323, 186.352
26,  77.878, 165.329
28,  71.274, 154.332
30,  62.803, 141.709
32,  53.271, 126.627
34,  45.282, 117.298
36,  38.708,  99.703
38,  35.007,  90.615
40,  27.412,  74.782
42,  21.523,  62.306
44,  17.343,  51.990
46,  14.868,  45.943
48,  10.975,  37.368
50,   7.474,  28.940
52,   4.946,  21.304
54,   2.767,  15.145
56,   1.167,   8.787
58,   0.332,   2.933


Parameter, 1, 128, 100, 20
play, 0
 0, 214.800, 727.345
 2, 200.738, 695.736
 4, 187.892, 664.257
 6, 170.971, 618.330
 8, 161.683, 599.692
10, 154.648, 587.497
12, 137.978, 541.684
14, 129.925, 513.189
16, 117.566, 475.401
18, 104.079, 438.664
20,  95.829, 410.827
22,  87.355, 384.611
24,  83.532, 358.811
26,  81.526, 337.695
28,  72.988, 308.885
30,  63.452, 277.689
32,  54.920, 246.588
34,  47.965, 219.971
36,  41.481, 198.719
38,  35.577, 176.227
40,  29.636, 156.109
42,  24.136, 133.482
44,  19.346, 112.119
46,  15.086,  91.279
48,  11.446,  74.437
49,   9.227,  63.877
50,   7.775,  56.683
51,   6.009,  47.907
53,   3.667,  34.764
55,   1.581,  20.303
57,   0.529,   9.895
59,   0.305,   5.048

play, 1
 0, 210.866, 723.398
 2, 200.079, 699.094
 4, 184.433, 660.611
 6, 173.770, 632.803
 8, 157.950, 589.361
10, 146.049, 553.063
12, 139.089, 530.689
14, 125.464, 486.048
16, 113.280, 452.890
18, 101.839, 420.442
20,  92.785, 392.789
22,  86.378, 367.980
24,  83.941, 341.359
26,  76.830, 310.059
28,  71.446, 292.755
30,  62.758, 267.862
32,  55.369, 241.602
34,  49.145, 223.030
36,  42.577, 198.975
38,  35.961, 174.997
40,  29.811, 150.656
41,  27.859, 138.683
42,  24.933, 124.462
43,  22.112, 103.824
45,  15.476,  70.788
46,   9.120,  48.755
47,   1.871,   8.239

play, 2
 0, 213.378, 728.325
 2, 196.875, 688.645
 4, 184.810, 666.209
 6, 175.854, 646.932
 8, 163.106, 616.826
10, 149.353, 582.432
12, 139.150, 558.514
14, 128.914, 527.854
16, 119.741, 489.943
18, 106.621, 460.127
20,  96.965, 430.377
22,  88.088, 402.076
24,  83.597, 378.070
26,  80.034, 340.857
28,  74.008, 322.475
30,  62.510, 280.624
32,  55.226, 255.927
34,  47.075, 228.762
36,  38.923, 193.449
38,  33.714, 174.756
40,  27.955, 152.715
42,  23.218, 134.369
44,  18.463, 109.997
46,  13.748,  88.682
48,  11.120,  76.977
50,   7.833,  59.891
52,   5.070,  44.222
54,   2.919,  30.403
56,   1.244,  18.206
57,   0.585,  11.263
59,   0.305,   5.049

play, 3
 0, 209.556, 719.547
 2, 196.926, 693.751
 4, 184.799, 668.851
 6, 173.248, 635.791
 8, 165.587, 619.974
10, 151.155, 585.003
12, 139.595, 555.260
14, 130.219, 531.293
16, 120.908, 496.370
18, 104.581, 457.965
20,  95.048, 427.293
22,  87.626, 403.629
24,  82.682, 371.803
26,  79.418, 338.371
28,  70.327, 302.955
30,  61.992, 276.803
32,  55.268, 259.574
34,  48.711, 238.267
36,  41.485, 211.383
38,  33.616, 177.837
40,  27.551, 153.507
42,  22.565, 133.107
44,  18.676, 112.672
46,  15.461,  96.905
48,  11.567,  79.239
50,   8.052,  63.366
52,   5.709,  48.626
53,   4.536,  39.700
54,   3.064,  30.877
56,   1.712,  21.061
58,   0.358,   6.554

play, 4
 0, 210.357, 719.992
 2, 196.990, 692.935
 4, 185.942, 669.402
 6, 176.713, 649.494
 8, 161.880, 615.212
10, 149.167, 579.963
12, 139.631, 556.297
14, 127.563, 513.841
16, 114.789, 476.900
18, 106.779, 458.704
20,  97.985, 433.816
22,  86.759, 391.334
24,  83.735, 362.295
26,  80.921, 338.708
28,  68.550, 291.974
30,  61.188, 263.813
32,  53.154, 233.776
34,  45.791, 210.843
36,  39.265, 188.874
38,  33.384, 166.718
40,  29.657, 151.469
42,  23.594, 130.933
44,  19.231, 112.492
45,  16.809, 103.528
46,  14.454,  94.504
48,  10.863,  77.994
50,   7.660,  61.749
52,   5.293,  45.745
54,   3.131,  32.808
56,   1.348,  20.885
58,   0.512,  10.894
59,   0.305,   5.000


Program end at Mon Jan 10 19:43:39 2022

